,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
564,2606,47.232,134.688,3.19E-06,5.39E-06,1.92E-05,5.77E-05,2.562,2.378,2.117
565,2608,15.552,29.472,2.51E-07,2.59E-07,3.44E-07,0,1.092,0.902,0.53
566,2610,30.848,48.704,1.38E-07,1.66E-07,6.98E-07,5.30E-06,1.353,1.314,0.871
567,2611,1.088,12.212,9.82E-07,1.37E-06,6.44E-06,1.88E-05,35.05,32.29,19.534
568,2614,0.088,0.296,4.26E-08,5.67E-08,3.34E-07,2.43E-06,10.486,5.894,1.629
569,2615,0.012,0.028,2.84E-09,5.14E-09,2.79E-08,1.39E-07,2.048,0.504,0.138
570,2619,36.288,152.064,1.48E-06,2.00E-06,3.88E-06,1.30E-05,0.946,0.736,0.665
571,2620,6.016,18.88,4.62E-07,5.45E-07,1.07E-06,0,1.487,1.358,1.187
572,2623,1.792,3.392,6.60E-08,1.74E-07,9.62E-07,1.29E-07,3.057,2.189,1.452
573,2628,1.728,5.888,4.01E-07,8.37E-07,2.64E-06,4.37E-07,7.57,7.107,6.045
574,2632,0.48,1.443,6.82E-08,1.33E-07,3.03E-07,3.04E-07,2.425,1.944,1.122
575,2633,0.672,1.408,2.51E-08,1.34E-08,2.34E-07,0,1.202,0.708,0.371
576,2634,12.288,58.656,9.12E-07,1.12E-06,2.18E-06,4.56E-06,1.467,1.374,1.12
577,2636,14.464,31.296,2.56E-07,4.59E-07,6.69E-07,0,0.863,0.764,0.579
578,2640,2.688,25.984,2.89E-07,2.77E-07,5.53E-07,2.41E-06,1.294,1.105,0.89
579,2641,1.152,2.304,2.59E-07,2.92E-07,3.90E-07,1.96E-06,0.678,0.422,0.379
580,2649,0.128,0.256,9.04E-09,1.92E-08,5.70E-08,9.22E-08,2.458,1.355,0.353
581,2660,6.464,16.896,4.87E-07,6.27E-07,7.95E-07,0,1.041,0.93,0.814
582,2662,6.336,16.128,3.97E-07,5.83E-07,1.95E-06,1.14E-06,1.823,1.512,1.46
583,2663,5.376,12.224,2.90E-07,4.59E-07,9.14E-07,0,0.863,0.651,0.471
584,2664,12.48,35.168,4.02E-07,5.35E-07,1.28E-06,2.32E-06,0.702,0.542,0.447
585,2665,10.432,30.592,7.48E-07,8.66E-07,1.36E-06,3.23E-06,2.102,1.986,1.852
586,2671,9.344,31.456,2.37E-07,3.50E-07,2.47E-07,0,0.522,0.379,0.291
587,2677,0.896,2.176,9.94E-08,1.39E-07,2.63E-07,1.13E-06,0.907,0.621,0.518
588,2679,0.192,0.256,5.38E-08,6.13E-08,8.33E-07,1.51E-05,13.735,12.419,3.281
589,2680,2.547,5.376,5.77E-08,1.39E-07,5.95E-08,2.32E-06,0.967,0.906,0.788
590,2681,18.368,55.456,6.82E-07,1.22E-06,5.39E-06,0,1.856,1.639,1.438
591,2688,11.584,35.712,3.32E-07,5.50E-07,1.71E-06,5.71E-07,1.226,1.083,0.995
592,2690,0.128,0.2,4.02E-09,6.37E-09,6.67E-08,2.34E-07,2.15,1.045,0.277
593,2691,11.648,26.752,5.52E-08,1.10E-07,9.43E-07,1.01E-05,0.845,0.592,0.403
594,2693,0.164,0.188,8.18E-09,5.61E-09,4.33E-08,3.64E-08,1.205,0.736,0.298
595,2695,14.208,33.376,5.60E-07,8.91E-07,2.01E-06,2.68E-06,0.885,0.582,0.43
596,2696,17.28,45.568,1.49E-06,1.93E-06,3.70E-06,4.60E-07,1.262,1.151,1.097
597,2697,4.736,13.696,4.85E-07,4.37E-07,1.05E-06,2.11E-06,1.331,1.251,1.08
598,2700,32.64,57.92,1.60E-06,2.33E-06,7.35E-06,1.16E-05,4.172,4.057,3.844
599,2701,0.32,0.636,0,1.47E-08,6.73E-08,8.75E-08,0.994,0.681,0.333
600,2703,22.592,57.664,1.39E-06,1.94E-06,7.43E-06,1.31E-05,3.9,2.889,1.517
601,2706,8.128,21.76,4.81E-07,8.60E-07,2.76E-06,2.26E-06,2.183,1.93,1.837
602,2709,8.96,18.496,5.73E-07,1.14E-06,4.24E-06,1.53E-06,2.128,1.988,1.964
603,2711,87.552,124.864,1.90E-06,1.30E-06,1.09E-06,1.13E-06,1.082,0.906,0.801
604,2715,0.192,0.384,3.89E-08,5.61E-08,7.97E-07,1.33E-05,10.474,8.902,3.094
605,2719,7.872,34.88,8.88E-08,1.20E-07,4.03E-07,2.30E-08,1.876,1.243,0.552
606,2725,3.264,11.328,2.12E-08,9.56E-08,3.01E-07,1.72E-06,0.651,0.514,0.358
607,2727,47.168,64.288,2.59E-07,1.90E-07,6.03E-07,5.43E-06,0.546,0.451,0.354
608,2728,1.421,2.029,9.30E-08,1.22E-07,1.00E-06,7.75E-06,2.873,2.569,1.676
609,2736,1.585,5.065,6.53E-07,7.64E-07,1.95E-06,3.84E-06,5.384,4.863,3.961
610,2748,0.192,0.384,5.67E-09,1.47E-08,5.32E-08,0,1.485,1.054,0.304
611,2749,2.368,17.856,2.91E-07,2.41E-07,4.01E-07,1.31E-06,1.361,1.241,1.108
612,2750,4.672,11.136,1.14E-07,2.29E-07,4.40E-07,0,0.576,0.548,0.451
613,2751,8.064,20.544,1.67E-07,2.48E-07,7.02E-07,5.18E-07,0.49,0.416,0.298
614,2753,8.64,21.76,3.07E-07,4.06E-07,1.46E-06,8.45E-07,1.132,0.999,0.858
615,2755,0.056,0.144,4.64E-09,3.80E-09,5.16E-08,0,1.592,0.777,0.256
616,2757,0.064,0.064,2.67E-08,1.65E-08,9.91E-10,2.87E-06,1.503,0.59,0.158
617,2760,1.792,4.672,1.98E-07,2.03E-07,2.45E-07,2.78E-06,1.036,0.865,0.815
618,2767,26.624,33.216,4.54E-08,0,1.09E-07,2.74E-10,0.519,0.467,0.336
619,2770,26.88,181.088,8.70E-07,2.36E-06,8.59E-06,4.92E-05,0.786,0.675,0.592
620,2774,11.264,55.136,3.20E-07,4.57E-07,1.26E-06,3.85E-06,0.801,0.546,0.436
621,2775,13.248,31.648,1.39E-07,1.65E-07,2.57E-07,3.52E-06,0.823,0.45,0.348
622,2776,1.536,1.953,0,2.82E-08,1.83E-07,0,0.704,0.538,0.264
623,2780,15.232,53.632,3.42E-07,9.23E-07,6.46E-06,6.99E-06,1.881,1.593,1.505
624,2788,0.48,0.872,1.49E-08,3.16E-08,2.03E-07,4.89E-07,1.855,1.273,0.949
625,2790,29.824,45.248,2.19E-06,3.12E-06,1.00E-05,6.66E-06,3.768,3.471,3.108
626,2793,2.304,6.976,2.29E-07,4.64E-07,2.93E-06,1.17E-05,5.086,4.02,3.305
627,2795,0.112,0.232,6.83E-09,8.00E-09,1.32E-07,6.61E-07,2.351,1.916,0.549
628,2797,2.688,8.832,1.30E-06,1.99E-06,7.25E-06,9.99E-06,8.594,8.275,7.343
629,2798,9.024,49.152,4.00E-06,1.32E-05,6.60E-05,0.000148,24.192,23.748,22.372
630,2799,0.782,3.214,3.78E-07,5.26E-07,1.34E-06,1.82E-06,8.737,7.048,3.979
631,2800,0.32,0.448,4.96E-09,1.24E-08,6.90E-08,3.52E-07,0.979,0.7,0.333
632,2801,0.064,0.256,0,7.24E-09,2.04E-08,9.19E-09,1.146,0.492,0.143
633,2810,1.104,2.41,4.26E-08,1.12E-07,4.80E-07,6.16E-07,0.999,0.901,0.813
634,2812,14.144,30.656,1.67E-06,3.04E-06,1.03E-05,1.05E-05,12.1,10.517,6.479
635,2814,0.064,0.064,4.26E-09,7.74E-09,4.08E-08,1.48E-07,2.547,0.768,0.208
636,2815,105.024,131.744,1.47E-06,1.53E-06,8.93E-07,1.35E-05,1.098,0.965,0.885
637,2821,0.152,0.392,8.21E-09,1.92E-08,6.74E-08,0,1.903,1.298,0.398
638,2823,0.064,0.176,3.24E-09,7.13E-09,1.92E-08,0,1.032,0.478,0.131
639,2825,12.833,32.096,0,1.01E-07,6.63E-07,2.76E-06,0.601,0.387,0.257
640,2828,0.24,0.581,8.22E-09,1.29E-08,8.35E-08,2.54E-07,1.11,0.852,0.394
641,2830,1.472,3.264,1.28E-07,1.06E-07,2.07E-07,0,0.915,0.72,0.551
642,2831,66.048,150.144,4.61E-05,2.56E-05,9.82E-05,0.000492,44.337,43.427,36.207
643,2834,0.16,0.68,3.03E-08,7.08E-08,5.08E-07,2.38E-06,8.798,6.351,2.277
644,2843,6.72,11.136,1.23E-07,1.99E-07,1.06E-06,2.33E-06,1.784,1.521,1.037
645,2844,1.88,2.752,2.08E-08,2.21E-08,8.98E-08,0,0.815,0.728,0.257
646,2846,0.04,0.064,5.64E-09,1.11E-08,4.83E-08,6.38E-08,1.791,0.975,0.26
647,2848,2.432,7.232,1.64E-07,2.02E-07,4.59E-07,0,0.606,0.466,0.414
648,2849,0.437,1.261,9.22E-08,1.71E-08,1.60E-07,0,0.948,0.644,0.35
649,2850,0.896,2.24,7.76E-08,9.52E-08,8.79E-08,0,0.924,0.504,0.412
650,2851,1.024,2.368,2.37E-08,5.75E-08,2.22E-07,0,0.691,0.612,0.451
651,2852,12.48,33.28,1.75E-06,4.26E-06,1.83E-05,2.69E-05,7.131,6.662,5.787
652,2853,5.056,13.984,1.20E-07,5.11E-07,1.42E-06,1.17E-06,1.06,0.856,0.62
653,2855,13.184,42.496,1.84E-06,4.60E-06,3.00E-05,7.57E-05,9.834,9.527,8.051
654,2856,56.512,119.872,0,1.66E-05,0.000122,0.000111,20.045,18.633,14.817
655,2857,10.08,24.544,1.18E-07,1.92E-07,9.52E-07,0,0.778,0.55,0.497
656,2860,1.08,1.463,2.65E-08,9.71E-08,5.61E-07,6.15E-07,2.982,1.539,1.052
657,2861,0.799,1.599,7.44E-08,1.09E-07,2.90E-07,1.30E-06,2.376,1.601,0.807
658,2862,27.04,41.824,2.22E-08,3.19E-08,7.69E-08,2.37E-07,0.947,0.914,0.548
659,2863,16.128,42.624,1.30E-06,1.78E-06,6.56E-06,1.23E-05,2.006,1.832,1.718
660,2864,9.472,30.944,2.48E-07,4.97E-07,1.64E-06,2.30E-06,0.817,0.685,0.621
661,2873,0.044,0.084,3.55E-10,7.16E-09,3.28E-08,2.16E-09,1.338,0.638,0.148
662,2877,28.992,114.112,2.69E-06,3.65E-06,7.59E-06,0,3.03,2.916,2.406
663,2879,0.08,0.176,0,1.16E-08,3.98E-08,1.43E-10,1.473,0.639,0.227
664,2880,1.843,6.115,3.08E-07,4.01E-07,1.07E-06,0,3.196,2.897,2.5
665,2889,20.608,75.904,2.04E-06,3.69E-06,1.85E-05,4.08E-05,6.645,5.922,4.255
666,2890,23.936,51.584,9.16E-07,1.46E-06,7.68E-06,3.82E-05,3.008,2.322,1.887
667,2891,16.064,60.736,1.55E-06,2.69E-06,1.44E-05,8.32E-05,9.15,8.714,7.063
668,2892,0.104,0.288,9.83E-09,2.10E-08,7.17E-08,0,2.352,1.6,0.474
669,2893,3.776,10.336,1.10E-07,1.08E-07,0,0,0.574,0.503,0.43
670,2894,1.6,3.776,6.05E-07,1.32E-06,4.23E-06,6.25E-06,9.213,8.683,7.897
671,2896,0.144,0.456,1.13E-07,1.62E-07,2.90E-07,2.13E-07,10.441,7.737,2.46
672,2897,18.112,28.032,2.96E-06,2.84E-06,2.13E-06,0,3.216,2.94,2.701
673,2898,6.72,14.976,6.51E-07,4.40E-07,8.95E-07,4.01E-06,0.923,0.784,0.585
674,2900,3.552,18.144,1.08E-07,1.61E-07,6.21E-07,2.37E-06,0.545,0.466,0.355
675,2901,9.984,28.416,4.61E-07,2.55E-07,6.75E-08,0,0.848,0.589,0.474
676,2910,0.128,0.32,3.52E-09,3.67E-09,7.98E-08,8.93E-07,1.328,1.117,0.38
677,2913,19.392,22.912,7.02E-07,1.26E-06,2.73E-06,1.42E-06,5.738,5.2,3.182
678,2916,5.632,10.144,1.83E-07,2.79E-07,6.52E-07,1.96E-06,1.31,1.029,0.566
679,2917,3.968,11.872,1.31E-07,2.32E-07,1.64E-07,0,0.608,0.517,0.437
680,2918,0.256,0.448,7.11E-09,2.26E-08,1.50E-07,4.32E-07,3.437,2.164,0.68
681,2919,4.032,20.32,1.10E-06,1.93E-06,6.44E-06,1.61E-05,6.114,5.773,5.31
682,2922,54.784,160.768,1.72E-06,2.85E-06,6.11E-06,5.71E-06,3.02,2.851,2.497
683,2924,108.032,137.088,1.72E-07,1.21E-06,2.80E-06,1.35E-06,0.982,0.711,0.658
684,2925,7.552,17.152,2.58E-07,3.54E-07,9.12E-07,2.58E-07,1.53,1.299,0.814
685,2927,7.776,34.336,3.86E-07,3.66E-07,5.95E-07,0,0.763,0.58,0.519
686,2929,14.08,42.752,2.13E-06,3.70E-06,1.69E-05,6.18E-05,8.202,5.915,5.407
687,2931,13.888,46.496,2.30E-07,3.63E-07,1.12E-06,2.02E-06,0.928,0.777,0.689
688,2932,3.974,9.12,1.21E-07,4.85E-07,1.23E-06,0,0.779,0.576,0.512
689,2933,0.192,0.32,3.98E-08,9.30E-08,6.50E-07,2.95E-06,10.769,6.789,1.779
690,2944,2.88,5.184,1.73E-07,2.92E-07,1.28E-06,1.22E-06,1.8,1.403,1.324
691,2945,0.896,3.392,2.94E-07,2.35E-07,1.63E-07,2.47E-07,1.54,1.348,1.032
692,2947,9.408,21.92,3.77E-07,5.84E-07,8.64E-07,0,0.758,0.535,0.412
693,2948,48.768,101.216,1.39E-06,1.23E-06,2.41E-06,5.29E-06,0.815,0.7,0.541
694,2950,12.992,27.584,6.45E-07,7.69E-07,1.70E-06,0,1.407,1.256,1.068
695,2951,2.305,4.864,1.86E-07,3.19E-07,9.01E-07,0,1.702,1.417,1.264
696,2952,0.184,0.68,2.42E-08,4.13E-08,3.33E-07,2.06E-06,4.373,3.705,1.463
697,2953,11.2,16.832,2.83E-06,4.45E-06,1.52E-05,2.70E-05,18.147,17.502,13.71
698,2958,28.576,36.896,1.48E-06,2.38E-06,5.43E-06,6.37E-06,3.939,3.751,3.366
699,2961,51.136,88.64,3.67E-07,5.30E-07,2.50E-06,8.34E-06,0.744,0.563,0.439
700,2964,0.08,0.2,1.80E-09,1.14E-08,4.61E-08,0,1.405,0.948,0.277
701,2966,0.136,0.312,8.71E-09,1.31E-08,2.68E-08,1.37E-07,1.192,0.774,0.247
702,2973,0.261,0.637,9.57E-09,2.66E-08,8.75E-08,1.03E-07,1.998,1.344,0.522
703,2975,0.072,0.24,4.64E-09,9.29E-09,5.57E-08,5.01E-07,2.439,1.003,0.273
704,2977,0.256,0.576,1.77E-08,2.39E-08,1.25E-07,3.57E-07,2.642,1.839,0.637
705,2978,0.088,0.36,3.02E-08,5.08E-08,2.02E-07,2.11E-07,8.761,3.83,1.14
706,2980,1.164,2.884,1.49E-07,1.44E-07,5.27E-08,0,0.824,0.679,0.533
707,2984,11.776,32.832,8.27E-07,1.42E-06,7.22E-06,2.46E-05,5.882,4.614,3.633
708,2985,13.696,31.104,2.46E-07,4.32E-07,1.02E-06,0,1.141,0.875,0.641
709,2986,1.552,4.032,6.48E-08,1.35E-07,2.91E-07,1.87E-07,0.69,0.631,0.508
710,2987,0.128,0.64,0,2.62E-08,6.36E-08,3.23E-07,1.452,0.737,0.221
711,2988,0.256,4.672,7.12E-08,1.13E-07,5.72E-07,2.80E-06,7.527,6.155,2.131
712,2990,4.832,11.232,2.12E-07,8.47E-08,1.81E-07,0,0.494,0.452,0.384
713,2992,11.84,16.832,5.10E-08,1.02E-07,4.15E-07,2.30E-07,0.621,0.519,0.333
714,2993,17.664,44.8,7.95E-07,1.22E-06,6.52E-06,5.62E-05,4.255,3.221,2.576
715,2994,15.36,48.576,2.12E-06,3.15E-06,1.97E-05,8.21E-05,15.349,14.421,10.705
716,2995,0.104,0.704,7.51E-09,2.43E-08,1.28E-07,3.67E-07,4.086,2.076,0.625
717,2996,22.144,50.848,9.03E-07,6.73E-07,7.58E-07,2.65E-06,0.654,0.417,0.339
718,2998,9.728,33.056,6.33E-07,8.56E-07,1.15E-06,3.05E-07,1.384,1.218,0.904
719,3001,12.48,29.696,6.60E-07,1.00E-06,3.21E-06,1.28E-06,4.355,4.192,3.1
720,3003,10.752,37.632,1.65E-06,2.37E-06,1.08E-05,4.09E-05,3.039,2.826,2.751
721,3005,8.96,26.88,3.40E-07,4.00E-07,1.10E-06,2.47E-06,0.907,0.897,0.776
722,3011,23.232,49.664,2.73E-07,5.97E-07,3.83E-06,5.33E-06,1.906,1.685,1.152
723,3012,6.144,9.92,1.94E-07,2.76E-07,6.99E-07,0,1.204,0.998,0.716
724,3015,11.2,26.752,3.81E-07,5.98E-07,2.03E-06,2.86E-06,2.139,1.755,1.331
725,3016,3.392,10.304,4.04E-09,0,3.65E-07,1.10E-06,0.469,0.356,0.264
726,3017,30.4,75.552,9.70E-07,1.50E-06,4.30E-06,1.03E-06,1.05,0.914,0.784
727,3026,3.84,11.008,2.72E-07,3.18E-07,7.15E-07,8.67E-07,1.161,1.044,0.895
728,3027,0.042,0.12,2.53E-09,5.61E-09,7.04E-08,8.26E-07,2.27,1.059,0.269
729,3028,1.549,4.285,1.16E-07,9.08E-08,8.46E-08,0,1.602,1.028,0.464
730,3029,19.968,44.736,5.50E-08,2.00E-07,1.33E-06,7.30E-06,0.886,0.724,0.594
731,3032,8.064,13.12,1.88E-07,6.00E-07,1.34E-06,2.58E-06,3.184,2.319,1.282
732,3035,35.776,88.448,3.57E-06,6.95E-06,2.29E-05,2.66E-05,6.224,6.026,5.088
733,3036,1.024,4.544,0,0,7.34E-08,1.36E-06,0.848,0.681,0.448
734,3037,0.018,0.048,1.95E-09,6.11E-09,2.94E-08,8.95E-08,2.245,0.737,0.207
735,3038,0.28,0.464,4.23E-09,1.75E-08,1.43E-07,6.30E-07,1.498,1.35,0.604
736,3039,1.664,3.635,5.98E-07,1.05E-06,2.98E-06,4.30E-06,9.048,7.528,5.974
737,3040,11.136,25.984,4.58E-07,5.75E-07,1.48E-06,6.37E-07,1.868,1.699,1.527
738,3042,100.16,181.952,3.66E-06,5.73E-06,2.47E-05,3.60E-05,7.162,6.743,6.268
739,3043,0.056,0.104,9.27E-09,7.30E-09,2.05E-08,0,1.097,0.505,0.148
740,3051,0.054,0.136,0,1.85E-09,2.50E-08,3.65E-07,1.141,0.366,0.156
741,3055,19.264,40.64,1.38E-06,2.55E-06,4.47E-06,0,2.019,1.776,1.619
742,3056,9.92,36.32,2.76E-06,3.23E-06,7.54E-06,4.66E-07,2.623,2.413,2.246
743,3057,13.376,34.88,2.50E-05,2.37E-05,0.000125,0.000608,35.1,32.364,29.515
744,3066,0.088,0.176,9.23E-10,1.26E-08,6.83E-08,2.42E-07,2.034,1.246,0.334
745,3067,8.256,66.976,4.00E-06,6.81E-06,2.38E-05,4.71E-05,19.31,18.672,15.842
746,3068,1.856,4.096,1.25E-07,2.02E-07,4.13E-07,0,0.881,0.743,0.624
747,3070,7.488,20.704,3.92E-07,6.77E-07,2.11E-06,3.90E-06,1.434,1.278,1.141
748,3071,26.432,71.328,3.85E-06,5.27E-06,1.27E-05,1.95E-05,1.175,0.934,0.854
749,3072,3.968,8.704,2.83E-07,3.29E-07,9.04E-07,5.91E-07,1.255,1.066,0.793
750,3073,0.028,0.056,2.08E-09,5.83E-09,2.13E-08,6.85E-08,1.813,0.668,0.22
751,3074,17.6,43.2,2.13E-07,3.22E-07,7.49E-07,0,0.55,0.407,0.344
752,3075,33.024,43.584,8.74E-07,1.08E-06,2.20E-06,6.84E-07,2.469,2.315,1.769
753,3076,42.496,84.16,1.10E-06,1.32E-06,2.78E-06,5.11E-06,1.538,1.391,1.291
754,3078,0.112,0.224,1.00E-08,8.43E-09,1.08E-07,1.54E-06,2.32,1.631,0.441
755,3080,29.824,48.608,2.61E-07,1.57E-07,7.24E-07,7.84E-06,1.202,0.977,0.532
756,3084,4.928,9.6,5.18E-07,6.25E-07,1.91E-06,2.07E-06,2.531,2.226,1.961
757,3085,4.16,11.264,2.18E-07,2.07E-07,4.32E-07,2.84E-06,1.567,1.334,0.836
758,3087,0.32,1.152,3.89E-07,5.09E-07,1.60E-06,4.90E-06,18.688,14.267,5.824
759,3088,1.984,5.184,7.56E-08,1.16E-07,1.12E-07,9.22E-07,0.697,0.535,0.461
760,3091,4.736,9.472,4.78E-07,5.31E-07,9.21E-07,1.57E-07,0.995,0.857,0.725
761,3093,36.416,89.344,9.93E-07,1.52E-06,3.41E-06,0,2.306,2.026,1.42
762,3094,0.32,0.432,6.98E-09,1.21E-08,1.45E-07,8.97E-07,1.468,1.18,0.582
763,3096,2.624,6.976,4.72E-07,6.80E-07,1.62E-06,0,2.461,2.28,1.936
764,3100,19.2,45.248,1.96E-06,2.03E-06,1.53E-06,0,1.554,1.24,1.137
765,3101,8.384,37.376,6.06E-07,9.50E-07,2.92E-06,6.36E-06,2.634,2.218,1.856
766,3102,14.976,37.056,6.95E-07,1.22E-06,4.65E-06,2.75E-06,1.12,0.955,0.88
767,3103,38.72,53.824,5.34E-07,6.12E-07,7.79E-07,0,0.901,0.615,0.598
768,3105,13.376,27.712,6.70E-07,1.52E-06,8.54E-06,5.77E-06,6.108,5.27,2.699
769,3109,13.568,34.496,9.57E-07,1.49E-06,2.67E-06,0,1.554,1.206,1.127
770,3110,4.928,10.176,1.70E-07,6.17E-07,4.89E-06,3.29E-05,4.449,3.619,2.378
771,3113,0.464,0.976,3.01E-08,8.04E-08,5.09E-07,3.48E-06,3.9,3.115,2.349
772,3114,0.512,0.896,5.52E-09,1.74E-08,8.94E-08,0,0.772,0.683,0.445
773,3115,4.032,45.312,1.28E-06,2.39E-06,1.23E-05,9.94E-06,12.126,11.095,8.67
774,3118,0.136,0.232,4.17E-09,9.14E-09,7.05E-08,1.86E-07,1.473,1.184,0.332
775,3119,13.568,35.584,9.11E-07,7.33E-07,1.22E-06,4.60E-06,0.932,0.757,0.647
776,3120,9.664,18.848,4.05E-07,4.21E-07,1.07E-06,3.73E-08,1.388,1.148,0.984
777,3121,0.304,0.792,1.15E-08,1.63E-08,1.37E-07,7.27E-07,1.188,0.903,0.601
778,3127,6.144,13.088,5.79E-07,3.91E-07,2.05E-07,7.06E-07,0.655,0.478,0.334
779,3128,14.144,32.192,2.73E-06,7.12E-06,3.62E-05,6.14E-05,12.747,12.41,12.18
780,3129,8.832,20.128,3.15E-07,3.49E-07,7.55E-07,0,0.664,0.637,0.561
781,3130,8.96,18.496,2.50E-07,4.12E-07,4.34E-07,0,0.847,0.54,0.41
782,3131,9.472,48.352,1.61E-06,1.60E-06,1.03E-06,2.11E-06,1.535,1.469,1.388
783,3132,14.784,20.736,4.56E-07,6.56E-07,6.58E-07,0,1.215,0.919,0.788
784,3134,4.672,13.472,4.69E-07,3.65E-07,5.09E-07,4.96E-07,0.678,0.613,0.506
785,3135,34.464,49.248,3.68E-07,4.02E-07,6.13E-07,0,0.847,0.74,0.618
786,3136,4.832,19.552,6.57E-08,4.82E-08,3.23E-07,0,0.535,0.351,0.317
787,3137,0.04,0.064,0,4.86E-09,2.78E-08,2.69E-07,1.063,0.491,0.203
788,3138,2.24,5.184,1.20E-06,2.01E-06,5.59E-06,2.34E-06,16.833,16.628,14.274
789,3139,2.56,6.08,1.16E-07,2.04E-07,2.78E-07,0,0.736,0.573,0.438
790,3141,1.194,2.29,1.16E-07,0,3.97E-08,0,0.797,0.61,0.386
791,3142,8.448,33.088,1.59E-07,3.41E-07,1.48E-06,2.64E-06,2.966,2.031,1.163
792,3143,1.619,4.147,3.66E-07,4.42E-07,1.40E-06,4.02E-06,2.691,2.589,2.235
793,3144,3.456,6.656,3.96E-08,8.45E-08,3.20E-07,1.86E-06,0.431,0.363,0.27
794,3146,1.323,1.963,4.83E-08,1.40E-07,3.96E-07,1.88E-06,0.99,0.852,0.556
795,3152,0.128,1.793,2.06E-07,3.16E-07,1.91E-06,9.85E-06,25.342,13.826,4.095
796,3153,14.656,32.032,4.01E-07,3.96E-07,4.80E-07,4.70E-06,0.802,0.747,0.707
797,3155,1.28,4.928,2.42E-07,2.61E-07,9.33E-07,4.16E-06,1.919,1.846,1.599
798,3156,197.408,300,2.36E-06,1.92E-06,2.99E-06,2.48E-06,0.644,0.558,0.432
799,3159,13.952,18.24,2.83E-07,2.17E-07,4.03E-07,0,1.187,1.046,0.821
800,3160,2.432,3.072,3.09E-08,4.41E-08,5.78E-07,0,1.055,0.87,0.689
801,3164,2.88,7.488,1.04E-07,1.05E-07,4.36E-07,6.03E-06,0.868,0.72,0.563
802,3166,2.112,5.504,2.20E-07,2.81E-07,4.32E-07,0,0.861,0.638,0.534
803,3167,1.856,3.872,1.05E-07,1.53E-07,2.38E-07,0,0.528,0.335,0.287
804,3168,6.592,18.08,3.34E-07,2.43E-07,8.93E-07,9.96E-07,0.656,0.507,0.408
805,3171,34.112,57.216,2.64E-07,6.72E-07,3.30E-06,1.32E-05,0.963,0.613,0.497
806,3173,0.088,0.208,3.22E-08,6.33E-08,3.39E-07,2.51E-06,14.904,6.33,1.67
807,3174,9.664,20.128,3.89E-07,5.79E-07,8.14E-07,5.96E-06,0.663,0.515,0.439
808,3177,2.176,6.688,3.84E-07,3.68E-07,1.03E-06,5.81E-07,2.933,2.703,2.1
809,3178,6.144,39.936,2.58E-06,3.33E-06,1.68E-05,7.67E-05,14.583,14.335,12.019
810,3193,16.64,64.064,6.22E-07,7.69E-07,2.33E-06,3.08E-07,0.82,0.653,0.613
811,3212,11.808,83.424,1.03E-06,1.53E-06,3.76E-06,4.08E-06,2.222,2.02,1.915
812,3215,0.128,0.64,3.99E-08,6.14E-08,3.51E-07,9.26E-07,13.337,6.481,1.722
813,3217,16.64,44.832,7.83E-07,6.54E-07,2.07E-06,2.54E-06,1.18,0.994,0.898
814,3218,0.04,0.096,2.10E-09,4.24E-09,5.23E-08,3.45E-07,2.149,0.827,0.196
815,3220,26.272,100.448,7.91E-07,1.07E-06,3.48E-06,1.05E-05,0.8,0.695,0.629
816,3227,20.736,115.328,6.03E-06,9.47E-06,3.22E-05,5.43E-05,17.725,17.026,13.966
817,3229,6.08,20.736,1.34E-07,1.81E-07,1.86E-07,4.96E-07,0.967,0.775,0.658
818,3237,6.72,46.24,8.61E-07,7.97E-07,1.80E-06,1.23E-06,2.314,2.013,1.911
819,3238,6.4,20.928,3.36E-07,3.01E-07,5.23E-07,4.78E-07,1.657,1.587,1.308
820,3241,12.992,45.44,6.15E-06,6.60E-06,1.62E-05,2.24E-05,13.845,12.476,9.091
821,3242,2.688,8.576,2.73E-06,9.38E-07,7.06E-07,8.47E-07,2.92,2.689,2.511
822,3245,34.24,77.056,1.00E-05,1.51E-05,6.78E-05,0.000169,14.086,12.788,10.929
823,3246,13.952,54.464,1.22E-06,7.77E-07,1.74E-06,1.46E-06,1.289,1.14,0.952
824,3247,46.848,200.704,1.39E-06,2.75E-06,1.25E-05,1.93E-05,1.507,1.448,1.139
825,3248,59.264,84.16,1.39E-08,7.10E-09,1.28E-07,9.25E-07,1.016,0.737,0.5
826,3255,20.16,34.88,3.94E-06,3.41E-06,6.11E-06,3.31E-06,12.667,11.866,9.446
827,3256,60.16,96.576,1.20E-06,1.16E-06,1.78E-06,0,1.892,1.763,1.67
828,3257,22.592,63.616,1.56E-06,2.27E-06,8.41E-06,2.37E-06,3.209,3.063,2.925
829,3259,15.168,48.448,7.74E-07,1.20E-06,4.33E-06,7.63E-06,2.276,2.063,1.966
830,3266,0.144,0.61,3.49E-09,1.32E-08,1.11E-07,1.41E-07,2.701,1.382,0.471
831,3267,18.24,54.336,2.26E-07,3.81E-07,1.04E-06,6.81E-07,0.647,0.451,0.38
832,3269,4.352,13.888,3.05E-07,4.20E-07,3.00E-06,1.35E-05,8.365,6.172,4.159
833,3276,6.176,20.192,8.16E-08,3.04E-07,6.23E-07,1.77E-06,1.424,1.267,0.994
