,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
360,2101,14.272,30.208,3.00E-07,4.44E-07,1.43E-06,3.15E-06,0.724,0.481,0.446
361,2102,3.584,11.52,4.46E-07,4.66E-07,1.41E-06,1.49E-07,1.793,1.614,1.502
362,2103,0.256,1.024,1.24E-08,1.57E-08,1.05E-07,4.10E-07,1.511,1.239,0.494
363,2105,1.664,3.392,1.94E-07,1.80E-07,3.86E-07,0,1.072,0.999,0.764
364,2106,7.872,26.048,5.04E-07,9.19E-07,3.83E-06,7.33E-06,1.806,1.562,1.45
365,2110,7.488,18.752,8.45E-07,2.04E-06,1.04E-05,2.71E-05,4.926,4.596,4.195
366,2111,15.04,29.056,5.51E-07,1.23E-06,2.17E-06,6.18E-07,1.361,1.222,1.105
367,2112,82.304,208.128,5.57E-07,4.08E-07,4.97E-07,1.90E-05,0.712,0.574,0.53
368,2114,2.688,7.168,2.76E-08,5.59E-08,4.21E-07,2.32E-07,0.996,0.782,0.547
369,2115,0.281,0.508,1.72E-08,2.26E-08,8.25E-08,8.04E-08,2.895,1.099,0.487
370,2117,0.384,0.64,0,1.33E-08,1.06E-07,4.57E-07,1.631,0.927,0.444
371,2119,5.504,15.296,1.76E-07,3.73E-07,9.95E-07,0,1.212,0.944,0.862
372,2122,37.376,120.64,1.82E-06,2.59E-06,7.95E-06,3.01E-05,1.994,1.891,1.66
373,2123,8.512,21.952,1.24E-06,1.60E-06,2.85E-06,6.74E-07,2.285,2.123,1.84
374,2125,0.125,0.223,4.09E-08,8.59E-08,5.20E-07,3.91E-06,15.429,9.335,2.501
375,2126,0.165,0.401,1.53E-08,2.47E-08,1.62E-07,1.88E-07,3.732,2.318,0.765
376,2129,9.472,12.416,1.98E-07,1.14E-07,3.37E-07,0,0.808,0.558,0.425
377,2132,0.026,0.09,3.80E-09,1.11E-08,4.04E-08,0,2.274,0.872,0.217
378,2133,2.112,3.904,9.80E-08,1.24E-07,3.18E-07,0,1.044,0.778,0.624
379,2138,11.968,77.248,4.40E-06,5.47E-06,1.85E-05,1.21E-05,7.084,7.004,6.772
380,2140,6.784,19.072,4.88E-07,3.39E-07,4.56E-07,0,0.644,0.52,0.488
381,2142,1.131,2.063,1.41E-08,7.13E-08,4.26E-07,0,1.314,1.061,0.98
382,2143,11.648,22.272,2.78E-07,5.23E-07,1.82E-06,1.68E-06,0.939,0.777,0.638
383,2145,0.192,0.768,3.39E-09,9.86E-09,4.61E-08,1.30E-07,0.985,0.692,0.236
384,2146,0.089,0.248,5.05E-09,6.08E-09,7.30E-08,2.87E-07,1.682,1.117,0.3
385,2148,46.656,61.376,3.12E-07,3.99E-07,1.06E-06,0,1.517,1.401,1.143
386,2149,49.152,80.128,3.48E-06,3.39E-06,4.70E-06,2.37E-06,1.614,1.394,1.287
387,2151,1.024,19.2,1.21E-06,1.66E-06,9.92E-06,5.38E-05,167.841,105.062,34.903
388,2152,2.24,4.416,1.66E-07,1.56E-07,4.49E-08,0,0.922,0.741,0.421
389,2155,0.418,0.708,1.47E-08,1.86E-08,1.68E-07,7.13E-07,1.916,1.359,0.73
390,2156,92.032,154.432,4.35E-06,1.39E-05,5.96E-05,9.20E-05,18.282,16.57,12.179
391,2159,0.026,0.051,2.77E-09,2.13E-09,1.10E-08,0,0.823,0.441,0.161
392,2161,0.04,0.177,2.13E-09,5.74E-09,4.65E-08,1.47E-07,1.926,0.769,0.187
393,2163,0.229,0.391,6.45E-09,1.76E-08,8.66E-08,3.31E-07,1.133,0.873,0.436
394,2167,0.128,0.128,7.55E-09,1.98E-08,1.07E-07,5.40E-07,4.882,1.984,0.529
395,2181,18.176,96.704,3.31E-07,3.78E-07,1.09E-06,7.26E-07,0.901,0.737,0.625
396,2187,8,22.528,1.58E-07,1.46E-07,3.71E-07,1.97E-07,0.505,0.417,0.283
397,2188,51.008,74.368,6.19E-07,6.82E-07,1.64E-06,1.62E-06,1.031,0.842,0.698
398,2189,8.832,20.544,1.52E-07,4.36E-07,9.69E-07,2.59E-07,0.706,0.525,0.426
399,2190,40,135.872,1.17E-06,1.12E-06,2.98E-06,5.30E-06,2.004,1.821,1.519
400,2191,7.36,25.28,2.34E-07,2.73E-07,1.02E-06,3.07E-06,1.104,0.831,0.761
401,2193,42.304,135.168,6.10E-07,2.00E-06,1.14E-05,1.32E-05,1.784,1.546,1.483
402,2197,12.16,39.936,4.38E-07,7.95E-07,1.83E-06,1.06E-06,1.263,1.04,0.933
403,2201,0.129,0.38,7.52E-09,1.46E-08,7.27E-08,2.17E-07,1.893,1.261,0.371
404,2202,9.088,17.024,2.29E-07,2.15E-07,1.06E-07,1.41E-07,0.794,0.58,0.413
405,2203,3.264,15.104,2.24E-07,2.47E-07,6.73E-07,1.05E-06,1.854,1.364,1.134
406,2204,11.2,23.04,1.31E-07,1.55E-07,3.33E-07,3.89E-07,0.88,0.72,0.496
407,2205,0.576,1.152,2.82E-09,1.02E-08,7.09E-08,1.17E-06,0.937,0.857,0.29
408,2206,0.203,0.602,7.00E-09,1.37E-08,1.21E-07,1.74E-07,1.909,1.392,0.522
409,2207,1.728,3.2,9.11E-08,8.59E-08,1.34E-07,0,0.584,0.488,0.329
410,2211,68.032,84.224,7.93E-07,1.16E-06,4.99E-06,7.99E-06,1.636,1.397,1.229
411,2213,51.648,61.888,8.80E-07,1.25E-06,3.54E-06,3.62E-06,4.663,4.591,4.122
412,2217,0.321,0.656,2.11E-08,2.91E-08,4.14E-07,4.16E-06,3.563,3.015,1.615
413,2219,4.224,11.2,3.98E-07,4.12E-07,9.87E-07,0,1.959,1.621,1.159
414,2220,0.123,0.951,7.12E-09,2.03E-08,7.80E-08,2.49E-07,2.228,1.432,0.432
415,2228,30.272,90.112,2.22E-06,4.15E-06,1.24E-05,9.68E-06,9.232,8.105,5.205
416,2230,4.864,7.36,7.76E-08,8.14E-08,2.11E-07,0,0.563,0.378,0.276
417,2232,6.4,56.512,1.01E-06,1.45E-06,5.00E-06,4.63E-06,6.65,6.018,5.204
418,2233,6.4,14.208,9.00E-08,1.06E-07,3.28E-07,1.86E-06,0.498,0.317,0.227
419,2240,20.8,42.208,4.24E-07,4.75E-07,1.03E-06,0,0.813,0.598,0.507
420,2244,229.76,261.792,3.99E-07,7.23E-07,2.08E-06,0,0.557,0.474,0.376
421,2252,12.672,35.328,3.64E-07,4.74E-07,1.49E-06,0,0.808,0.641,0.527
422,2253,11.52,19.648,3.53E-07,5.29E-07,1.56E-06,1.09E-07,2.746,2.176,1.091
423,2254,1.92,5.44,1.17E-07,1.89E-07,6.38E-07,3.95E-07,1.751,1.638,1.416
424,2265,0.256,0.456,4.71E-09,2.26E-08,1.06E-07,2.00E-08,1.355,1.111,0.538
425,2267,5.568,14.08,1.83E-07,3.45E-07,1.08E-06,2.41E-06,1.109,0.964,0.908
426,2268,0.416,1.954,6.93E-08,1.15E-07,4.39E-07,0,2.528,2.349,1.294
427,2273,0.096,0.224,3.82E-08,8.55E-08,5.33E-07,2.18E-06,18.593,9.481,2.539
428,2276,57.76,119.136,3.03E-06,2.30E-06,2.60E-06,2.08E-05,1.025,0.854,0.79
429,2277,36.416,69.504,3.68E-07,5.57E-07,2.18E-06,1.28E-06,1.328,1.166,1.004
430,2283,1.92,2.24,0,1.21E-08,1.40E-07,1.96E-06,0.993,0.72,0.228
431,2287,246.528,461.984,2.76E-06,6.76E-06,1.99E-05,8.63E-06,2.096,1.911,1.771
432,2288,0.256,0.448,4.77E-09,6.09E-09,5.94E-08,7.17E-08,0.902,0.795,0.256
433,2291,0.064,0.064,6.57E-10,2.34E-09,1.62E-08,1.43E-07,0.89,0.278,0.051
434,2298,31.68,70.016,7.20E-07,8.69E-07,2.61E-06,4.64E-07,0.682,0.538,0.421
435,2304,17.888,54.304,4.13E-07,5.30E-07,1.36E-06,6.93E-07,0.885,0.767,0.654
436,2306,3.968,21.12,5.52E-08,2.45E-07,7.60E-07,2.28E-06,1.058,1.008,0.958
437,2309,12.864,20.48,1.71E-07,3.59E-07,2.18E-06,3.58E-06,1.823,1.383,1.243
438,2310,14.624,26.912,2.61E-07,2.14E-07,5.66E-07,4.81E-07,0.672,0.523,0.395
439,2311,8.928,26.4,2.30E-07,2.25E-07,4.87E-07,2.05E-06,0.93,0.749,0.58
440,2312,0.112,0.272,8.57E-09,1.05E-08,1.04E-07,4.51E-07,1.801,1.505,0.444
441,2315,9.536,19.328,7.28E-07,1.12E-06,3.51E-06,1.49E-06,1.772,1.661,1.638
442,2316,11.456,29.184,5.78E-06,6.73E-06,2.07E-05,2.09E-05,4.041,3.828,3.672
443,2317,0.448,0.896,1.21E-07,2.21E-07,4.20E-07,2.86E-08,9.733,5.761,3.439
444,2320,0.248,0.608,7.68E-08,1.41E-07,5.42E-07,1.03E-06,11.034,7.95,3.07
445,2321,3.2,8.384,1.03E-06,1.51E-06,5.28E-06,1.74E-06,8.407,7.54,6.03
